location_id,site_code,name,parent_site_code,district_code,dhis2_code,site_id,partner
68229d3225ec433181cee27f389a2100,martin_preuss_centre,Martin Preuss Centre,lilongwe,11,1832,700,Lighthouse
a056d063901f490ba6db64b94427e2f6,st_marys_clinic_training,St Marys Clinic (Training),lilongwe,,,,
366aae3127cb44ab8ae67417f44d1cf3,ben_carson_clinic,Ben Carson Clinic (Training),lilongwe,,9876,1332,
694b2eadfe9145bf837044a094101ff8,mnyanja_health_centre_kasungu,Mnyanja Health Centre (Kasungu),kasungu,,2520,1076,
2c5670a858fa4398aa918e01602770ad,kavuzi_cumnoc,Kavuzi Cumnoc,nkhata-bay,,323,1075,
4c681dbe61d14074ab987690053e56be,st._augustine_health_centre,St. Augustine Health Centre,kasungu,,3147,1074,
834c5b0c0c5448cba9a491693fd958b1,st._faith_health_centre,St. Faith Health Centre,kasungu,,1038,1073,
973bace38a2741b28617c7540e2518b4,enukweni_health_centre,Enukweni Health Centre,mzimba,,406,1072,
4d293220697f48c98a236913338449cf,mahowe_health_centre,Mahowe Health Centre,chitipa,,126,1071,
6f34c651ab754361ab6b7c92a029ba86,chisansu_health_post,Chisansu health post,chitipa,,110,1070,
978e13ad330c49eb88b443101c4a22bb,nancholi_youth_organisation_clinic,Nancholi Youth Organisation Clinic,blantyre,,2525,1069,
7207f3b98afd4ac291b93cffa45fbb15,kaongizi_health_centre,Kaongizi Health Centre,nkhotakota,,1121,1068,
0768c181db364b068f072570ddcc74b0,mehboob_clinic,Mehboob Clinic,mangochi,,3419,1066,
c6e6b59249f94cda8840afeb66f0300f,umunthu_foundation_clinic,Umunthu Foundation Clinic,blantyre,,319,1062,
e969caa412044e66a2a030a464a12d76,kameza_macro,Kameza Macro,blantyre,,2956,1061,
30247b3bb40d43d6817433ee6a23bd57,amecca_chilaweni_health_centre,Amecca Chilaweni Health Centre,blantyre,,5077,1060,
86dba1ec2d674ecb97e02edb5e4fdfef,ngabu_sda_health_center,Ngabu SDA Health Center,chikwawa,,1110,1059,
8e4512b0e9364c5bbb9bca298515b222,gateway_clinic_blantyre,Gateway Clinic (Blantyre),blantyre,,2999,1058,
86ea703327384e14ad52ac5d0c0faa94,fidelity_private_clinic_lilongwe,Fidelity Private Clinic (Lilongwe),lilongwe,,1575,1054,
f03ec344de984895a636fa12c291a1ea,mcguire_wellness_center_child_legacy,McGuire Wellness Center (Child Legacy),lilongwe,,3151,1053,
42e0225e64b64ef78f4dfe9df8eafe42,mazunga_private_clinic_nkhota-kota,Mazunga Private Clinic (Nkhota-kota),nkhotakota,,218,1052,
