location_id,location_name,location_district,facility_code,facility_name
984,AHI Private Clinic (Zomba),Zomba,ZA230014,AHI Private Clinic (Zomba)
5,Adventist Health Centre (Lilongwe),Lilongwe,LL040011,Adventist Health Centre (Lilongwe)
706,Adventist Hospital (Blantyre),Blantyre,BT240084,Adventist Hospital (Blantyre)
6,African Bible College Health Centre,Lilongwe,LL040007,African Bible College Health Centre
857,Airwing Clinic (Lilongwe),Lilongwe,LL040016,Airwing Clinic (Lilongwe)
1021,Akasale Private Cinic (Chiradzulu),Chiradzulu,CR260018,Akasale Private Cinic (Chiradzulu)
1049,Alinafe Community Hospital (Kasungu),Kasungu,,Alinafe Community Hospital (Kasungu)
7,Alinafe Rehabilitation Centre,Nkhotakota,NK100019,Alinafe Rehabilitation Centre
890,Alliance One Clinic (Lilongwe),Lilongwe,LL040023,Alliance One Clinic (Lilongwe)
914,Amalika Health Centre,Thyolo,TH310026,Amalika Health Centre
1060,Amecca Chilaweni Health Centre,Blantyre,BT240028,Amecca Chilaweni Health Centre
1127,Anchor Farm (Kasungu),Kasungu,KU070030,Anchor Farm (Kasungu)
8,Area 18 Urban Health Centre,Lilongwe,LL040033,Area 18 Urban Health Centre
9,Area 25 Banja La Mtsogolo Dispensary,Lilongwe,LL040036,Area 25 Banja La Mtsogolo Dispensary
10,Area 25 Urban Health Centre,Lilongwe,LL040037,Area 25 Urban Health Centre
836,Area 36 Private Clinic,Lilongwe,LL040457,Area 36 Private Clinic
1076,Army Secondary School,MDFS,,Army Secondary School
3,Assalaam Clinic,Mangochi,MG200045,Assalaam Clinic
802,Atupele Health Centre,Karonga,KA150046,Atupele Health Centre
845,Auction Holdings Limited Clinic (Kanengo),Lilongwe,LL040050,Auction Holdings Limited Clinic (Kanengo)
1120,BLM Mchinji,Mchinji,MC010098,BLM Mchinji
973,Balaka Banja La Mtsogolo Dispensary,Balaka,BK170052,Balaka Banja La Mtsogolo Dispensary
11,Balaka District Health Office,Balaka,BK170053,Balaka District Health Office
13,Balaka Health Area,Balaka,,Balaka Health Area
14,Balaka Health District,Balaka,,Balaka Health District
1077,Banja Care Private Clinic,BCPC,BT240061,Banja Care Private Clinic
905,Bereu Health Post,Chikwawa,CK270069,Bereu Health Post
838,Bethsaida Private Hospital,Lilongwe,LL040077,Bethsaida Private Hospital
19,Bilal Dispensary,Chiradzulu,CR260079,Bilal Dispensary
1015,Billy Riordan Memorial Health Clinic,Mangochi,MG200082,Billy Riordan Memorial Health Clinic
22,Biriwiri Health Centre,Ntcheu,NT120081,Biriwiri Health Centre
1123,Biwi Health Center,Lilongwe,LL041843,Biwi Health Center
23,Blantyre Civic Centre Dispensary,Blantyre,BT240085,Blantyre Civic Centre Dispensary
941,Blantyre Dream Project,Blantyre,BT240087,Blantyre Dream Project
25,Blantyre Health Area,Blantyre,,Blantyre Health Area
26,Blantyre Health District,Blantyre,,Blantyre Health District
931,Blantyre Water Board Clinic,Blantyre,,Blantyre Water Board Clinic
27,Bolero Rural Health Centre,Rumphi,RU140107,Bolero Rural Health Centre
30,Bua Dispensary (Kasungu),Kasungu,KU071526,Bua Dispensary (Kasungu)
31,Bua Health Centre (Nkhotakota),Nkhota-kota,NK100114,Bua Health Centre (Nkhotakota)
33,Bulala Health Centre,Mzimba South,MZ160116,Bulala Health Centre
858,Bunda College,Lilongwe,LL040119,Bunda College
35,Bvumbwe-Makungwa Health Centre,Thyolo,TH310794,Bvumbwe-Makungwa Health Centre
37,Bwengu Health Centre,Mzimba North,MZ160124,Bwengu Health Centre
827,Care Medical Clinic,Mzimba North,MZ160126,Care Medical Clinic
933,Carlsberg / Sobo Clinic (Blantyre),Blantyre,BT240129,Carlsberg / Sobo Clinic (Blantyre)
856,Carlsberg / Sobo Clinic (Lilongwe),Lilongwe,LL040130,Carlsberg / Sobo Clinic (Lilongwe)
943,Central East African Railways Clinic (Blantyre),Blantyre,BT240133,Central East African Railways Clinic (Blantyre)
848,Central Health Clinic (Area 47),Lilongwe,LL040134,Central Health Clinic (Area 47)
38,Chabvala Health Centre,Chikwawa,BT240136,Chabvala Health Centre
1023,Chagunda Health Centre (Salima),Salima,SA090139,Chagunda Health Centre (Salima)
1028,Chakhadza Health Centre (Dowa),Dowa,DA020140,Chakhadza Health Centre (Dowa)
787,Chalasa Village,Lilongwe,,Chalasa Village
41,Chamba Dispensary (Machinga),Machinga,MC190143,Chamba Dispensary (Machinga)
42,Chamba Dispensary (Zomba),Zomba,,Chamba Dispensary (Zomba)
991,Chamba Health Centre (Zomba),Zomba,ZA230144,Chamba Health Centre (Zomba)
1126,Chambwe Health Center (Kasungu),Kasungu,KU071844,Chambwe Health Center (Kasungu)
45,Chamwabvi Dispensary,Kasungu,KU070148,Chamwabvi Dispensary
985,Chancellor College Clinic,Zomba,ZA230149,Chancellor College Clinic
986,Changalume Barracks Clinic,Zomba,ZA230151,Changalume Barracks Clinic
900,Changambika Health Centre,Chikwawa,CK270150,Changambika Health Centre
1101,Charity Private Clinic,dowa,DA021753,Charity Private Clinic
1131,Charity Private Clinic,Zomba,ZA230158,Charity Private Clinic
51,Chezi Dispensary,Dowa,DA020166,Chezi Dispensary
936,Chichiri ESCOM Clinic,Blantyre,BT240169,Chichiri ESCOM Clinic
945,Chichiri Prison Clinic,Blantyre,BT240170,Chichiri Prison Clinic
52,Chididi Health Centre (Nkhotakota),Nkhota-kota,NK100171,Chididi Health Centre (Nkhotakota)
53,Chididi Health Centre (Nsanje),Nsanje,NS300172,Chididi Health Centre (Nsanje)
58,Chikangawa Health Centre,Mzimba South,MZ160184,Chikangawa Health Centre
