OrgUnit ID,OrgUnit Name
Phf46V2Gghq, Kanjedza Police  Clinic
jpKor9OWp56, Makadam Pvt Clinic
e1iVoquOKVT,Aa-salam Clinic
q9qra0ng8xZ,Achikondi women community 
jtid6arDY0M,Admarc Dispensary
E3kLgwow7On,Adventist Health Centre
zYfP0gkHRJH,African Bible College Health Centre
VoTfUk9ncoD,Ahi Private Clinic
V7m6S5TIpqf,Airwing Clinic
FLu5HmxHlNM,Airwing Clinic (Zomba)
qNuRHXJ2P3m,Akasale Pvt Clinic
Y46sxDDIkfz,Alinafe Community Hospital
wDyK6ODo0vg,Alliance One Clinic
NG36oCEzUcC,Alumenda Health Centre
lIGQGBEICWx,Amalika Dispensary
lXEN2NtidAc,Anchor Farm Health Centre
sXNwy8bRFub,Area 18 Medi Clinic
h2ls2FUTYDc,Area 18 Urban Health Centre
CbwhI6UruPB,Area 25 Banja La Mtsogolo Dispensary
mFfOvxjq4y2,Area 25 Urban Health Centre
LAO8ozAkDKO,Area 30 Police Clinic
jXwJTKL2NOh,Area 36 Private Clinic
WZ18joAt6xW,Atupele Community Hospital
RpvcgQPC14I,Auction Holdings Clinic Kanengo 
R96XZz9y9Ji,Balaka District Hospital
aMWj5wusSxW,Balaka Dream Clinic 
XysHbVxy3XW,Balaka OPD Health Centre
xidxjaQqU54,Bangwe BLM Clinic
Z4phqEA2Pcr,Bangwe Health Centre
jL2JbGhQz9r,Banja care clinic
xEqkHLDUMPx,Banja La Mtsogolo
Sb8xVmXyL5p,Banja La Mtsogolo Mzuzu
yl49po4W4F7,Baylor Childrens Centre Of Excellence In Malawi 
spQpsut9f1B,Bembeke Health Centre
n6UZ8o9yo6L,Benga Health Centre
FO0kNPmm5E9,Bereu Dispensary
zdVWMYRfufn,Bethsaida Private Hospital 
KxcbdpaFBia,Bilal Dispensary
pPHM09AVDAS,Bilira Health Centre
qQOkofJwpxB,Billy Riordan Memorial Health Clinic
gS8A33Rsqjr,Bimbi Health Centre
K9CYAs4mo5E,Biriwiri Health Centre
fxSjk6Zaksj,Biwi Health Centre
VOnPaWYUVJK,Blantyre Adventist Hospital
kAU4FFex0Pa,Blantyre City Assembly Clinic 
PlWhhBj3LXE,Blantyre Civic Centre Dispensary
SSD4mvMj5fu,Blantyre DHO Mobile Clinic
BYyTYjcnELU,Blantyre Dream Project
mHcl2OS43ah,Blantyre Water Board Clinic
Y8mjMFSYoPw,Blessings Hospital 
oqM5ZFHyymE,BLM Family Planning Clinic
XbhazSb57LF,Blm Karonga
ILDhbeuLBtX,Blm Lunzu
eRFNJ66WIWi,Blm Mzimba
QsSrtfLO11f,Blm Nkhatabay 
x8xrWAL5gAZ,Blm Rumphi 
ODxMk91ZMph,Blm Zomba 
Oc3g2Wv2s5M,Bolero Rural Hospital
XUpPIr0oxZ5,Bondo Health Centre
glIscvEdIJz,Bowe Health Centre
BQ3aLnP32uB,Bua Health Center (Nkhotakota)
T118NxiYoIL,Bua Health Centre (Kasungu)
H8jU8sCWscO,Bula Health Centre
hDkZbRiskMg,Bulala Health Centre
sTbvB4c8oX1,Bunda Clinic
c2h7xIrYLsw,Bvumbwe Health Centre
rhk8NxfYxDu,Bvumbwe Research Health Centre
XtF7Xzv3edv,Bwaila Hospital
LqUvHvI2ifc,Bwanje Health Centre
jn7xfbY43dS,Bwengu Health Centre
m3l82LkwIyc,Care Medical Clinic
bnjsICNDB9L,Care Private ClinicAnd Dental Surgery Art
RgWEk9xdDv2,Carlsberg / Sobo Clinic Lilongwe 
Lx9CrjbHms2,Carlsberg / Sobo ClinicBlantyre
peJm0gcxzFw,Cck Health Clinic & Diagnostic Centre 
LcMpQWnS27k,Central East African Railways Clinic
IFUSwNgJdi7,Central Health Clinic Area 47
grfnmKmWiJ9,Chabvala Health Centre
cnyjtiMcC1D,Chadza Health Centre
fe9EboFXU0V,Chagunda
SL1ePpPFaki,Chakhaza Health Centre
LmCUb5UShy6,Chamama Health Facility
lNsSSuNKbIP,Chamba Health Centre (Machinga)
T9SOI57r1OF,Chamba Health Centre (Zomba)
Ln1grpEjzuK,Chambe Health Centre
h9csPxuoZUo,Chambo Health Centre
Dl6P4C549hR,Chambwe Health Centre
l86AxfTg26J,Champiti Health Centre
nN7JVSObAf7,Chamwabvi Dispensary
xt7sSjNqHjP,Chancellor College Clinic 
Ca0b3h49Loo,Chang'ambika Health Centre
lOis6dAt7D0,Changalume Barracks Clinic(Muluzi)
SnNGsSfYB0h,Changata Health Centre
cZkBc7Ri1HF,Chankhungu Health Centre
AalwV4ZrGDO,Chaone Health Centre
T3V75V8sfxa,Chapananga Health Centre
