Facility Name,EMR_Facility_ID,OrgUnit ID
Aa-salam Clinic,3,e1iVoquOKVT
Achikondi women community,851,q9qra0ng8xZ
Admarc Dispensary,4,jtid6arDY0M
Adventist Health Centre,5,E3kLgwow7On
African Bible College Health Centre,6,zYfP0gkHRJH
Ahi Private Clinic,984,VoTfUk9ncoD
Airwing Clinic,857,V7m6S5TIpqf
Airwing Clinic (Zomba),NA,FLu5HmxHlNM
Akasale Pvt Clinic,NA,qNuRHXJ2P3m
Alinafe Community Hospital,7,Y46sxDDIkfz
Alliance One Clinic,NA,wDyK6ODo0vg
Alumenda Health Centre,909,NG36oCEzUcC
Amalika Dispensary,914,lIGQGBEICWx
Anchor Farm Health Centre,NA,lXEN2NtidAc
Area 18 Medi Clinic,842,sXNwy8bRFub
Area 18 Urban Health Centre,8,h2ls2FUTYDc
Area 25 Banja La Mtsogolo Dispensary,9,CbwhI6UruPB
Area 25 Urban Health Centre,10,mFfOvxjq4y2
Area 30 Police Clinic,611,LAO8ozAkDKO
Area 36 Private Clinic,836,jXwJTKL2NOh
Atupele Community Hospital,802,WZ18joAt6xW
Auction Holdings Clinic Kanengo,845,RpvcgQPC14I
Balaka District Hospital,12,R96XZz9y9Ji
Balaka Dream Clinic,968,aMWj5wusSxW
Balaka OPD Health Centre,15,XysHbVxy3XW
Bangwe BLM Clinic,NA,xidxjaQqU54
Bangwe Health Centre,16,Z4phqEA2Pcr
Banja care clinic,NA,jL2JbGhQz9r
Banja La Mtsogolo,NA,xEqkHLDUMPx
Banja La Mtsogolo Mzuzu,NA,Sb8xVmXyL5p
Baylor Childrens Centre Of Excellence In Malawi,735,yl49po4W4F7
Bembeke Health Centre,17,spQpsut9f1B
Benga Health Centre,18,n6UZ8o9yo6L
Bereu Dispensary,905,FO0kNPmm5E9
Bethsaida Private Hospital,838,zdVWMYRfufn
Bilal Dispensary,19,KxcbdpaFBia
Bilira Health Centre,20,pPHM09AVDAS
Billy Riordan Memorial Health Clinic,NA,qQOkofJwpxB
Bimbi Health Centre,21,gS8A33Rsqjr
Biriwiri Health Centre,22,K9CYAs4mo5E
Biwi Health Centre,NA,fxSjk6Zaksj
Blantyre Adventist Hospital,NA,VOnPaWYUVJK
Blantyre City Assembly Clinic,NA,kAU4FFex0Pa
Blantyre Civic Centre Dispensary,23,PlWhhBj3LXE
Blantyre DHO Mobile Clinic,26,SSD4mvMj5fu
Blantyre Dream Project,941,BYyTYjcnELU
Blantyre Water Board Clinic,931,mHcl2OS43ah
Blessings Hospital,866,Y8mjMFSYoPw
BLM Family Planning Clinic,NA,oqM5ZFHyymE
Blm Karonga,804,XbhazSb57LF
Blm Lunzu,NA,ILDhbeuLBtX
Blm Mzimba,828,eRFNJ66WIWi
Blm Nkhatabay,NA,QsSrtfLO11f
Blm Rumphi,808,x8xrWAL5gAZ
Blm Zomba,993,ODxMk91ZMph
Bolero Rural Hospital,27,Oc3g2Wv2s5M
Bondo Health Centre,29,XUpPIr0oxZ5
Bowe Health Centre,29,glIscvEdIJz
Bua Health Center (Nkhotakota),30,BQ3aLnP32uB
Bua Health Centre (Kasungu),31,T118NxiYoIL
Bula Health Centre,32,H8jU8sCWscO
Bulala Health Centre,33,hDkZbRiskMg
Bunda Clinic,858,sTbvB4c8oX1
Bvumbwe Health Centre,34,c2h7xIrYLsw
Bvumbwe Research Health Centre,35,rhk8NxfYxDu
Bwaila Hospital,700,XtF7Xzv3edv
Bwanje Health Centre,36,LqUvHvI2ifc
Bwengu Health Centre,37,jn7xfbY43dS
Care Medical Clinic,827,m3l82LkwIyc
Care Private ClinicAnd Dental Surgery Art,NA,bnjsICNDB9L
Carlsberg / Sobo Clinic Lilongwe,856,RgWEk9xdDv2
Carlsberg / Sobo ClinicBlantyre,933,Lx9CrjbHms2
Cck Health Clinic & Diagnostic Centre,NA,peJm0gcxzFw
Central East African Railways Clinic,943,LcMpQWnS27k
Central Health Clinic Area 47,848,IFUSwNgJdi7
Chabvala Health Centre,38,grfnmKmWiJ9
Chadza Health Centre,39,cnyjtiMcC1D
Chagunda,NA,fe9EboFXU0V
Chakhaza Health Centre,40,SL1ePpPFaki
Chamama Health Facility,NA,LmCUb5UShy6
